File,"Line Number","Modification Count","Last Content"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,2,"c4
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,2,"e4
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,2,"c4
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,2,"e4
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,2,"c4
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,2,"e4
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,3,"c5
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,2,"e4
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,3,"c5
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,3,"e5
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,3,"c5
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,3,"e5
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,0,2,"b3
"
test/gamma.txt,1,3,"c5
"
test/gamma.txt,2,1,"d2
"
test/gamma.txt,3,3,"e5
"
test/gamma.txt,4,1,"f2
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"a1
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"a1
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"a1
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"a1
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"a1
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,1,"d1
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,2,"d2
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,1,"f1
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,2,"d2
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,2,"f2
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,2,"d2
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,2,"f2
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,1,"b1
"
test/gamma.txt,2,1,"c1
"
test/gamma.txt,3,2,"d2
"
test/gamma.txt,4,1,"e1
"
test/gamma.txt,5,2,"f2
"
test/gamma.txt,6,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,2,"d2
"
test/gamma.txt,2,1,"e1
"
test/gamma.txt,3,2,"f2
"
test/gamma.txt,4,1,"a
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,2,"d2
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,2,"f2
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,2,"d2
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,2,"f2
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,2,"d2
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,2,"f2
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,3,"d3
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,2,"f2
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,3,"d3
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,3,"d3
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"a2
"
test/gamma.txt,1,3,"d3
"
test/gamma.txt,2,2,"e2
"
test/gamma.txt,3,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,3,"d3
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,3,"d3
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,3,"d3
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"b1
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,3,"d3
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"b1
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,4,"d4
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,3,"f3
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"b1
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,4,"d4
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,4,"f4
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"b1
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,4,"d4
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,4,"f4
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,1,"b1
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,4,"d4
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,4,"f4
"
test/gamma.txt,-1,1,"f2
"
test/gamma.txt,-2,3,"e5
"
test/gamma.txt,-3,1,"d2
"
test/gamma.txt,-4,3,"c5
"
test/gamma.txt,-5,2,"b3
"
test/gamma.txt,0,2,"b2
"
test/gamma.txt,1,2,"a2
"
test/gamma.txt,2,4,"d4
"
test/gamma.txt,3,2,"e2
"
test/gamma.txt,4,4,"f4
"
